Point ID,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
2622,0.000774436,-0.000247214,0.000760845,0.032,0.03201,-9.50473e-07,4.71508e-06,0.0234811,0.0234811
2623,0.000774204,-0.00037082,0.00114127,0.032,0.0320225,-1.51347e-06,6.45238e-06,0.0232695,0.0232695
2624,0.000773968,-0.000494427,0.00152169,0.032,0.03204,-1.99528e-06,7.93251e-06,0.0229058,0.0229058
2625,0.00077378,-0.000618034,0.00190211,0.032,0.0320624,-2.32284e-06,8.92661e-06,0.02235,0.02235
2626,0.000774835,-0.000235114,0.000323607,0.032,0.0320025,-1.01405e-06,2.44087e-06,0.0235812,0.0235812
2627,0.000774439,-0.000470228,0.000647214,0.032,0.03201,-2.20403e-06,4.08378e-06,0.0234811,0.0234811
2628,0.000774208,-0.000705343,0.000970821,0.032,0.0320225,-3.28002e-06,5.56719e-06,0.0232696,0.0232696
2629,0.000773972,-0.000940457,0.00129443,0.032,0.03204,-4.20104e-06,6.83288e-06,0.0229059,0.0229059
2630,0.000773785,-0.00117557,0.00161803,0.032,0.0320624,-4.8268e-06,7.68544e-06,0.0223502,0.0223502
2631,0.000774837,-0.000323607,0.000235114,0.032,0.0320025,-1.56044e-06,1.89785e-06,0.0235813,0.0235813
2632,0.000774443,-0.000647214,0.000470228,0.032,0.03201,-3.20288e-06,3.09472e-06,0.0234812,0.0234812
2633,0.000774212,-0.000970821,0.000705343,0.032,0.0320225,-4.69004e-06,4.17683e-06,0.0232698,0.0232698
2634,0.000773977,-0.00129443,0.000940457,0.032,0.03204,-5.96468e-06,5.10124e-06,0.0229061,0.0229061
2635,0.00077379,-0.00161803,0.00117557,0.032,0.0320624,-6.83274e-06,5.72523e-06,0.0223504,0.0223504
2636,0.000774839,-0.000380423,0.000123607,0.032,0.0320025,-1.9125e-06,1.21185e-06,0.0235813,0.0235813
2637,0.000774446,-0.000760845,0.000247214,0.032,0.03201,-3.84782e-06,1.84335e-06,0.0234813,0.0234813
2638,0.000774216,-0.00114127,0.00037082,0.032,0.0320225,-5.60267e-06,2.41467e-06,0.0232698,0.0232698
2639,0.000773982,-0.00152169,0.000494427,0.032,0.03204,-7.10898e-06,2.90263e-06,0.0229062,0.0229062
2640,0.000773795,-0.00190211,0.000618034,0.032,0.0320624,-8.13776e-06,3.23148e-06,0.0223506,0.0223506
2641,0.00077484,-0.0004,0,0.032,0.0320025,-2.0351e-06,4.49934e-07,0.0235813,0.0235813
2642,0.000774449,-0.0008,0,0.032,0.03201,-4.07379e-06,4.51893e-07,0.0234813,0.0234813
2643,0.00077422,-0.0012,0,0.032,0.0320225,-5.92468e-06,4.52639e-07,0.0232699,0.0232699
2644,0.000773986,-0.0016,0,0.032,0.03204,-7.51557e-06,4.51344e-07,0.0229064,0.0229064
2645,0.000773799,-0.002,0,0.032,0.0320624,-8.60504e-06,4.46974e-07,0.0223507,0.0223507
2646,0.00067788,-0.000123607,0.000380423,0.033,0.0330024,-1.36787e-07,2.17194e-06,0.0235716,0.0235716
2647,0.000677588,-0.000247214,0.000760845,0.033,0.0330097,-6.01246e-07,3.60461e-06,0.0234719,0.0234719
2648,0.000677417,-0.00037082,0.00114127,0.033,0.0330218,-1.02279e-06,4.89841e-06,0.0232612,0.0232612
2649,0.000677241,-0.000494427,0.00152169,0.033,0.0330388,-1.38578e-06,6.00092e-06,0.0228986,0.0228986
2650,0.000677101,-0.000618034,0.00190211,0.033,0.0330606,-1.63569e-06,6.73987e-06,0.0223444,0.0223445
2651,0.000677881,-0.000235114,0.000323607,0.033,0.0330024,-6.4677e-07,1.91386e-06,0.0235716,0.0235716
2652,0.00067759,-0.000470228,0.000647214,0.033,0.0330097,-1.53284e-06,3.1352e-06,0.0234719,0.0234719
2653,0.000677419,-0.000705343,0.000970821,0.033,0.0330218,-2.33689e-06,4.23965e-06,0.0232612,0.0232612
2654,0.000677244,-0.000940457,0.00129443,0.033,0.0330388,-3.02801e-06,5.18211e-06,0.0228988,0.0228988
2655,0.000677104,-0.00117557,0.00161803,0.033,0.0330606,-3.50119e-06,5.81544e-06,0.0223446,0.0223446
2656,0.000677883,-0.000323607,0.000235114,0.033,0.0330024,-1.05245e-06,1.51051e-06,0.0235717,0.0235717
2657,0.000677592,-0.000647214,0.000470228,0.033,0.0330097,-2.27499e-06,2.39996e-06,0.023472,0.023472
2658,0.000677422,-0.000970821,0.000705343,0.033,0.0330218,-3.38561e-06,3.20516e-06,0.0232613,0.0232613
2659,0.000677247,-0.00129443,0.000940457,0.033,0.0330388,-4.341e-06,3.89276e-06,0.0228989,0.0228989
2660,0.000677107,-0.00161803,0.00117557,0.033,0.0330606,-4.99579e-06,4.35523e-06,0.0223448,0.0223448
2661,0.000677884,-0.000380423,0.000123607,0.033,0.0330024,-1.31378e-06,1.00105e-06,0.0235717,0.0235717
